Company,Public,TickerSymbol
American Eagle Airlines,Y,AAL
Air Canada,OTCMK,ACDVF
First Majestic Silver,Y,AG
"Ashland, Inc.",Y,ASH
Algoma Steel,Y,ASTL
Boeing,Y,BA
Belden Wire,Y,BDC
Boston Scientific,Y,BSX
Conagra,Y,CAG
Catepillar,Y,CAT
Cennex Harvest States,Y,CHSCP
Cleveland Cliffs,Y,CLF
Case New Holland,Y,CNHI
Dole,Y,DOLE
Dundee Precious Metals,OTCMK,DPMLF
Enbridge,Y,ENB
Crestwood Midstream Partners,MERG,ET
Forum Oilfield,Y,FET
GATX,Y,GATX
General Dynamics,Y,GD
Barrick Gold,Y,GOLD
Stiefel Labs,Merg,GSK
Hammond Power,OTCMKT,HMDPF
Gen-Probe,MERG,HOLX
Huntsman,Y,HUN
Dyno Nobel,OTCMK,ICPVF
Illumina,Y,ILMN
North American Palladium,MERG,IMPUY
Intepid Potash,Y,IPI
Tyco Fire,Y,JCI
Heinz,Y,KHC
Lennox,Y,LII
Li-Metal,OTCMKT,LIMFF
Luminex,Y,LMNX
Lockheed Martin,Y,LMT
Southwest Airlines,Y,LUV
LSB Industries,Y,LXU
Covidien,MERG,MDT
Martin Marietta,Y,MLM
Scott Health & Safety (Tyco),MERG,MMM
ArcelorMittal,Y,MT
Materion,Y,MTRN
McEwen Mining,Y,MUX
Goldcorp,Y,NEM
Northrop Grumman,Y,NOC
National Oilwell Varco,Y,NOV
Novartis,Y,NVS
LMI - Dod Lean Assessment,MERG,NX
Orvana Gold,OTCMKT,ORVMF
King Pharmaceuticals,MERG,PFE
Perrigo,Y,PRGO
Quebecor World,MERG,QUAD
FreightCar America,Y,RAIL
Russell Metals,OTCMKT,RSMF
Stillwater Mining,Y,SBSW
Surgery Partners,Y,SGRY
Smuckers,Y,SJM
Stericycle,Y,SRCL
Suncor Energy Oil,Y,SU
Sunoco,Y,SUN
Transalta,Y,TAC
Miller Coors,Y,TAP
Tate & Lyle,OTCMKT,TATYF
Timken Bearings,Y,TKR
Invitrogen,MERG,TMO
Tyson,Y,TSN
Texas Instruments,Y,TXN
Christie Digital,MERG,UHOIF
Advanced Drainage Systems,Y,WMS
